ComID,GeogName,Type,Year,Amount,KG
cnt1204,Queens,Finfish,2006,0,0
cnt1216,Richmond,Other Species,2008,213786,50994
cnt1217,Cape Breton,Other Species,2006,10905,6770
cnt1215,Inverness,Other Species,2008,0,0
cnt1201,Shelburne,All Species,2009,17129612,2152010
cnt1201,Shelburne,All Species,2010,18813741,2409199
cnt1201,Shelburne,All Species,2007,15892563,1786962
cnt1201,Shelburne,All Species,2011,15210832,1988806
cnt1201,Shelburne,All Species,2008,14425379,1642657
cnt1202,Yarmouth,Finfish,2006,1231985,312221
cnt1202,Yarmouth,Finfish,2008,1948573,493852
cnt1202,Yarmouth,Finfish,2010,1828908,483134
cnt1202,Yarmouth,Finfish,2009,1424000,346245
cnt1202,Yarmouth,Finfish,2011,2136080,464084
cnt1202,Yarmouth,Finfish,2007,1454658,391044
cnt1203,Digby,Finfish,2010,4943963,1159064
cnt1203,Digby,Finfish,2011,0,0
cnt1203,Digby,Finfish,2007,0,0
cnt1203,Digby,Finfish,2009,0,0
cnt1203,Digby,Finfish,2006,2577500,504700
cnt1203,Digby,Finfish,2008,0,0
cnt1204,Queens,Finfish,2008,0,0
cnt1204,Queens,Finfish,2011,0,0
cnt1204,Queens,Finfish,2007,0,0
cnt1204,Queens,Finfish,2009,0,0
cnt1204,Queens,Finfish,2010,0,0
cnt1204,Queens,Finfish,2006,0,0
cnt1205,Annapolis,Shellfish,2009,0,0
cnt1205,Annapolis,Shellfish,2008,0,0
cnt1205,Annapolis,Shellfish,2011,0,0
cnt1205,Annapolis,Shellfish,2007,0,0
cnt1205,Annapolis,Shellfish,2006,0,0
cnt1205,Annapolis,Shellfish,2010,0,0
cnt1206,Lunenburg,Shellfish,2011,234461,43647
cnt1206,Lunenburg,Shellfish,2007,9194300,1737638
cnt1206,Lunenburg,Shellfish,2008,3569663,1697520
cnt1206,Lunenburg,Shellfish,2006,14260873,1528618
cnt1210,Colchester,Other Species,2006,0,0
cnt1206,Lunenburg,Shellfish,2009,9103000,1541324
cnt1206,Lunenburg,Shellfish,2010,488167,127273
cnt1207,Kings,Other Species,2008,0,0
cnt1207,Kings,Other Species,2006,0,0
cnt1207,Kings,Other Species,2010,0,0
cnt1207,Kings,Other Species,2011,0,0
cnt1207,Kings,Other Species,2007,0,0
cnt1207,Kings,Other Species,2009,0,0
cnt1208,Hants,Other Species,2011,0,0
cnt1208,Hants,Other Species,2008,0,0
cnt1208,Hants,Other Species,2009,0,0
cnt1208,Hants,Other Species,2007,0,0
cnt1208,Hants,Other Species,2010,0,0
cnt1208,Hants,Other Species,2006,0,0
cnt1209,Halifax,Other Species,2008,0,0
cnt1209,Halifax,Other Species,2011,0,0
cnt1209,Halifax,Other Species,2006,0,0
cnt1209,Halifax,Other Species,2007,0,0
cnt1209,Halifax,Other Species,2009,0,0
cnt1209,Halifax,Other Species,2010,7144139,1230640
cnt1210,Colchester,Other Species,2010,0,0
cnt1210,Colchester,Other Species,2008,774811,77428
cnt1210,Colchester,Other Species,2009,0,0
cnt1210,Colchester,Other Species,2007,973869,87208
cnt1210,Colchester,Other Species,2006,1013495,102825
cnt1210,Colchester,Other Species,2011,591228,49263
cnt1211,Cumberland,Other Species,2006,843277,86867
cnt1211,Cumberland,Other Species,2007,1343678,136867
cnt1211,Cumberland,Other Species,2011,2913662,259059
cnt1211,Cumberland,Other Species,2008,2048398,157029
cnt1211,Cumberland,Other Species,2009,2524927,200222
cnt1211,Cumberland,Other Species,2010,1916536,264438
cnt1212,Pictou,Other Species,2006,964091,51431
cnt1212,Pictou,Other Species,2007,1561025,111522
cnt1212,Pictou,Other Species,2011,1817593,173455
cnt1212,Pictou,Other Species,2010,1445135,167666
cnt1212,Pictou,Other Species,2009,1285501,151100
cnt1212,Pictou,Other Species,2008,2022245,118757
cnt1213,Guysborough,Other Species,2010,0,0
cnt1213,Guysborough,Other Species,2006,0,0
cnt1213,Guysborough,Other Species,2011,0,0
cnt1213,Guysborough,Other Species,2007,0,0
cnt1213,Guysborough,Other Species,2008,0,0
cnt1213,Guysborough,Other Species,2009,0,0
cnt1214,Antigonish,Other Species,2010,0,0
cnt1214,Antigonish,Other Species,2006,0,0
cnt1214,Antigonish,Other Species,2007,0,0
cnt1214,Antigonish,Other Species,2009,0,0
cnt1214,Antigonish,Other Species,2011,0,0
cnt1214,Antigonish,Other Species,2008,0,0
cnt1215,Inverness,Other Species,2009,18503,6736
cnt1215,Inverness,Other Species,2008,70400,13674
cnt1215,Inverness,Other Species,2007,20424,3596
cnt1215,Inverness,Other Species,2010,10645,970
cnt1215,Inverness,Other Species,2006,68968,24308
cnt1215,Inverness,Other Species,2011,85585,16348
cnt1216,Richmond,Other Species,2010,0,0
cnt1216,Richmond,Other Species,2006,1074153,425061
cnt1216,Richmond,Other Species,2011,256100,30086
cnt1216,Richmond,Other Species,2009,342320,273140
cnt1216,Richmond,Other Species,2007,1173610,215818
cnt1217,Cape Breton,Other Species,2008,0,0
cnt1217,Cape Breton,Other Species,2011,0,0
cnt1217,Cape Breton,Other Species,2010,0,0
cnt1217,Cape Breton,Other Species,2007,12898,2491
cnt1217,Cape Breton,Other Species,2009,0,0
cnt1218,Victoria,Other Species,2006,2132161,1533512
cnt1218,Victoria,Other Species,2009,1258355,974986
cnt1218,Victoria,Other Species,2007,1699481,1268876
cnt1218,Victoria,Other Species,2010,1755070,1358989
cnt1218,Victoria,Other Species,2011,1286108,1002788
cnt1218,Victoria,Other Species,2008,1031434,757940
pro9012,Nova Scotia,Other Species,2007,52989156,10180552
pro9012,Nova Scotia,Other Species,2009,57877524,10516752
pro9012,Nova Scotia,Other Species,2006,42239784,7661412
pro9012,Nova Scotia,Other Species,2008,36193518,7337164
cnt1201,Shelburne,All Species,2006,0,0
cnt1201,Shelburne,All Species,2009,0,0
cnt1201,Shelburne,All Species,2010,0,0
cnt1201,Shelburne,All Species,2007,0,0
cnt1201,Shelburne,All Species,2011,0,0
cnt1201,Shelburne,All Species,2008,0,0
cnt1202,Yarmouth,Finfish,2006,0,0
cnt1202,Yarmouth,Finfish,2008,0,0
cnt1202,Yarmouth,Finfish,2010,0,0
cnt1202,Yarmouth,Finfish,2009,0,0
cnt1202,Yarmouth,Finfish,2011,0,0
cnt1202,Yarmouth,Finfish,2007,0,0
cnt1203,Digby,Finfish,2010,0,0
cnt1203,Digby,Finfish,2011,0,0
cnt1203,Digby,Finfish,2007,0,0
cnt1215,Inverness,Other Species,2007,0,0
cnt1203,Digby,Finfish,2009,0,0
cnt1203,Digby,Finfish,2006,0,0
cnt1203,Digby,Finfish,2008,0,0
cnt1204,Queens,Finfish,2008,0,0
cnt1204,Queens,Finfish,2011,0,0
cnt1204,Queens,Finfish,2007,0,0
cnt1204,Queens,Finfish,2009,0,0
cnt1204,Queens,Finfish,2010,0,0
cnt1204,Queens,Finfish,2006,0,0
cnt1205,Annapolis,Shellfish,2009,0,0
cnt1205,Annapolis,Shellfish,2008,0,0
cnt1205,Annapolis,Shellfish,2011,0,0
cnt1205,Annapolis,Shellfish,2007,0,0
cnt1205,Annapolis,Shellfish,2006,0,0
cnt1205,Annapolis,Shellfish,2010,0,0
cnt1206,Lunenburg,Shellfish,2011,0,0
cnt1206,Lunenburg,Shellfish,2007,0,0
cnt1206,Lunenburg,Shellfish,2008,0,0
cnt1206,Lunenburg,Shellfish,2006,0,0
cnt1206,Lunenburg,Shellfish,2009,0,0
cnt1206,Lunenburg,Shellfish,2010,0,0
cnt1207,Kings,Other Species,2008,0,0
cnt1207,Kings,Other Species,2006,0,0
cnt1207,Kings,Other Species,2010,0,0
cnt1207,Kings,Other Species,2011,0,0
cnt1207,Kings,Other Species,2007,0,0
cnt1207,Kings,Other Species,2009,0,0
cnt1208,Hants,Other Species,2011,0,0
cnt1208,Hants,Other Species,2008,0,0
cnt1215,Inverness,Other Species,2010,0,0
cnt1208,Hants,Other Species,2009,0,0
cnt1208,Hants,Other Species,2007,0,0
cnt1208,Hants,Other Species,2010,0,0
cnt1208,Hants,Other Species,2006,0,0
cnt1209,Halifax,Other Species,2008,0,0
cnt1209,Halifax,Other Species,2011,0,0
cnt1209,Halifax,Other Species,2006,0,0
cnt1209,Halifax,Other Species,2007,0,0
cnt1209,Halifax,Other Species,2009,0,0
cnt1209,Halifax,Other Species,2010,0,0
cnt1210,Colchester,Other Species,2010,0,0
cnt1210,Colchester,Other Species,2008,0,0
cnt1210,Colchester,Other Species,2009,0,0
cnt1210,Colchester,Other Species,2007,0,0
cnt1210,Colchester,Other Species,2006,0,0
cnt1210,Colchester,Other Species,2011,0,0
cnt1211,Cumberland,Other Species,2006,0,0
cnt1211,Cumberland,Other Species,2007,0,0
cnt1211,Cumberland,Other Species,2011,0,0
cnt1211,Cumberland,Other Species,2008,0,0
cnt1211,Cumberland,Other Species,2009,0,0
cnt1211,Cumberland,Other Species,2010,0,0
cnt1212,Pictou,Other Species,2006,0,0
cnt1212,Pictou,Other Species,2007,0,0
cnt1212,Pictou,Other Species,2011,0,0
cnt1212,Pictou,Other Species,2010,0,0
cnt1212,Pictou,Other Species,2009,0,0
cnt1212,Pictou,Other Species,2008,0,0
cnt1213,Guysborough,Other Species,2010,0,0
cnt1215,Inverness,Other Species,2006,0,0
cnt1213,Guysborough,Other Species,2006,0,0
cnt1213,Guysborough,Other Species,2011,0,0
cnt1213,Guysborough,Other Species,2007,0,0
cnt1213,Guysborough,Other Species,2008,0,0
cnt1213,Guysborough,Other Species,2009,0,0
cnt1214,Antigonish,Other Species,2010,0,0
cnt1214,Antigonish,Other Species,2006,0,0
cnt1214,Antigonish,Other Species,2007,0,0
cnt1214,Antigonish,Other Species,2009,0,0
cnt1214,Antigonish,Other Species,2011,0,0
cnt1214,Antigonish,Other Species,2008,0,0
cnt1215,Inverness,Other Species,2009,0,0
cnt1215,Inverness,Other Species,2008,0,0
cnt1215,Inverness,Other Species,2007,0,0
cnt1215,Inverness,Other Species,2010,0,0
cnt1215,Inverness,Other Species,2006,0,0
cnt1215,Inverness,Other Species,2011,0,0
cnt1216,Richmond,Other Species,2010,0,0
cnt1216,Richmond,Other Species,2006,0,0
cnt1216,Richmond,Other Species,2011,0,0
cnt1216,Richmond,Other Species,2009,0,0
cnt1216,Richmond,Other Species,2007,0,0
cnt1216,Richmond,Other Species,2008,0,0
cnt1217,Cape Breton,Other Species,2006,0,0
cnt1217,Cape Breton,Other Species,2008,0,0
cnt1217,Cape Breton,Other Species,2011,0,0
cnt1217,Cape Breton,Other Species,2010,0,0
cnt1208,Hants,Other Species,2007,0,0
cnt1217,Cape Breton,Other Species,2007,0,0
cnt1215,Inverness,Other Species,2011,0,0
cnt1217,Cape Breton,Other Species,2009,0,0
cnt1218,Victoria,Other Species,2006,0,0
cnt1218,Victoria,Other Species,2009,0,0
cnt1218,Victoria,Other Species,2007,0,0
cnt1218,Victoria,Other Species,2010,0,0
cnt1218,Victoria,Other Species,2011,0,0
cnt1218,Victoria,Other Species,2008,0,0
pro9012,Nova Scotia,Other Species,2007,7808327,229799
pro9012,Nova Scotia,Other Species,2009,4846987,147052
pro9012,Nova Scotia,Other Species,2006,4419017,121828
pro9012,Nova Scotia,Other Species,2008,6326143,125969
cnt1201,Shelburne,All Species,2006,0,0
cnt1201,Shelburne,All Species,2009,0,0
cnt1201,Shelburne,All Species,2010,0,0
cnt1201,Shelburne,All Species,2007,0,0
cnt1201,Shelburne,All Species,2011,0,0
cnt1201,Shelburne,All Species,2008,0,0
cnt1202,Yarmouth,Finfish,2006,0,0
cnt1202,Yarmouth,Finfish,2008,0,0
cnt1202,Yarmouth,Finfish,2010,0,0
cnt1202,Yarmouth,Finfish,2009,0,0
cnt1202,Yarmouth,Finfish,2011,0,0
cnt1202,Yarmouth,Finfish,2007,0,0
cnt1203,Digby,Finfish,2010,0,0
cnt1203,Digby,Finfish,2011,0,0
cnt1203,Digby,Finfish,2007,0,0
cnt1203,Digby,Finfish,2009,0,0
cnt1203,Digby,Finfish,2006,0,0
cnt1203,Digby,Finfish,2008,0,0
cnt1204,Queens,Finfish,2008,0,0
cnt1204,Queens,Finfish,2011,0,0
cnt1204,Queens,Finfish,2007,0,0
cnt1204,Queens,Finfish,2009,0,0
cnt1204,Queens,Finfish,2010,0,0
cnt1204,Queens,Finfish,2006,0,0
cnt1205,Annapolis,Shellfish,2009,0,0
cnt1205,Annapolis,Shellfish,2008,0,0
cnt1205,Annapolis,Shellfish,2011,0,0
cnt1205,Annapolis,Shellfish,2007,0,0
cnt1205,Annapolis,Shellfish,2006,0,0
cnt1205,Annapolis,Shellfish,2010,0,0
cnt1206,Lunenburg,Shellfish,2011,0,0
cnt1206,Lunenburg,Shellfish,2007,0,0
cnt1206,Lunenburg,Shellfish,2008,0,0
cnt1206,Lunenburg,Shellfish,2006,0,0
cnt1206,Lunenburg,Shellfish,2009,0,0
cnt1206,Lunenburg,Shellfish,2010,0,0
cnt1207,Kings,Other Species,2008,0,0
cnt1207,Kings,Other Species,2006,0,0
cnt1207,Kings,Other Species,2010,0,0
cnt1207,Kings,Other Species,2011,0,0
cnt1207,Kings,Other Species,2007,0,0
cnt1207,Kings,Other Species,2009,0,0
cnt1208,Hants,Other Species,2011,0,0
cnt1208,Hants,Other Species,2008,0,0
cnt1208,Hants,Other Species,2009,0,0
cnt1208,Hants,Other Species,2007,0,0
cnt1208,Hants,Other Species,2010,0,0
cnt1208,Hants,Other Species,2006,0,0
cnt1209,Halifax,Other Species,2008,0,0
cnt1209,Halifax,Other Species,2011,0,0
cnt1209,Halifax,Other Species,2006,0,0
cnt1209,Halifax,Other Species,2007,0,0
cnt1209,Halifax,Other Species,2009,0,0
cnt1209,Halifax,Other Species,2010,0,0
cnt1210,Colchester,Other Species,2010,0,0
cnt1210,Colchester,Other Species,2008,0,0
cnt1210,Colchester,Other Species,2009,0,0
cnt1210,Colchester,Other Species,2007,0,0
cnt1210,Colchester,Other Species,2006,0,0
cnt1210,Colchester,Other Species,2011,0,0
cnt1211,Cumberland,Other Species,2006,0,0
cnt1211,Cumberland,Other Species,2007,0,0
cnt1211,Cumberland,Other Species,2011,0,0
cnt1211,Cumberland,Other Species,2008,0,0
cnt1211,Cumberland,Other Species,2009,0,0
cnt1211,Cumberland,Other Species,2010,0,0
cnt1212,Pictou,Other Species,2006,0,0
cnt1212,Pictou,Other Species,2007,0,0
cnt1212,Pictou,Other Species,2011,0,0
cnt1212,Pictou,Other Species,2010,0,0
cnt1212,Pictou,Other Species,2009,0,0
cnt1212,Pictou,Other Species,2008,0,0
cnt1213,Guysborough,Other Species,2010,0,0
cnt1213,Guysborough,Other Species,2006,0,0
cnt1213,Guysborough,Other Species,2011,0,0
cnt1213,Guysborough,Other Species,2007,0,0
cnt1213,Guysborough,Other Species,2008,0,0
cnt1213,Guysborough,Other Species,2009,0,0
cnt1214,Antigonish,Other Species,2010,0,0
cnt1216,Richmond,Other Species,2010,0,0
cnt1214,Antigonish,Other Species,2006,0,0
cnt1214,Antigonish,Other Species,2007,0,0
cnt1214,Antigonish,Other Species,2009,0,0
cnt1214,Antigonish,Other Species,2011,0,0
cnt1214,Antigonish,Other Species,2008,0,0
cnt1212,Pictou,Other Species,2009,0,0
cnt1215,Inverness,Other Species,2009,0,0
cnt1215,Inverness,Other Species,2008,0,0
cnt1215,Inverness,Other Species,2007,0,0
cnt1215,Inverness,Other Species,2010,0,0
cnt1215,Inverness,Other Species,2006,0,0
cnt1215,Inverness,Other Species,2011,0,0
cnt1216,Richmond,Other Species,2010,0,0
cnt1216,Richmond,Other Species,2006,0,0
cnt1216,Richmond,Other Species,2011,0,0
cnt1216,Richmond,Other Species,2009,0,0
cnt1216,Richmond,Other Species,2007,0,0
cnt1216,Richmond,Other Species,2008,0,0
cnt1217,Cape Breton,Other Species,2006,0,0
cnt1217,Cape Breton,Other Species,2008,0,0
cnt1217,Cape Breton,Other Species,2011,0,0
cnt1217,Cape Breton,Other Species,2010,0,0
cnt1217,Cape Breton,Other Species,2007,0,0
cnt1217,Cape Breton,Other Species,2009,0,0
cnt1218,Victoria,Other Species,2006,0,0
cnt1218,Victoria,Other Species,2009,0,0
cnt1218,Victoria,Other Species,2007,0,0
cnt1218,Victoria,Other Species,2010,0,0
cnt1218,Victoria,Other Species,2011,0,0
cnt1218,Victoria,Other Species,2008,0,0
pro9012,Nova Scotia,Other Species,2007,40293459,7053406
cnt1216,Richmond,Other Species,2006,0,0
pro9012,Nova Scotia,Other Species,2009,47646215,7776783
pro9012,Nova Scotia,Other Species,2006,31334729,4113359
pro9012,Nova Scotia,Other Species,2008,25200299,5045201
cnt1201,Shelburne,All Species,2006,0,0
cnt1201,Shelburne,All Species,2009,0,0
cnt1201,Shelburne,All Species,2010,0,0
cnt1212,Pictou,Other Species,2008,0,0
cnt1201,Shelburne,All Species,2007,0,0
cnt1201,Shelburne,All Species,2011,0,0
cnt1201,Shelburne,All Species,2008,0,0
cnt1202,Yarmouth,Finfish,2006,0,0
cnt1202,Yarmouth,Finfish,2008,0,0
cnt1202,Yarmouth,Finfish,2010,0,0
cnt1202,Yarmouth,Finfish,2009,0,0
cnt1202,Yarmouth,Finfish,2011,0,0
cnt1202,Yarmouth,Finfish,2007,0,0
cnt1203,Digby,Finfish,2010,0,0
cnt1203,Digby,Finfish,2011,0,0
cnt1203,Digby,Finfish,2007,0,0
cnt1203,Digby,Finfish,2009,0,0
cnt1203,Digby,Finfish,2006,0,0
cnt1203,Digby,Finfish,2008,0,0
cnt1204,Queens,Finfish,2008,0,0
cnt1204,Queens,Finfish,2011,0,0
cnt1204,Queens,Finfish,2007,0,0
pro9012,Nova Scotia,Other Species,2008,1424012,329471
cnt1204,Queens,Finfish,2009,0,0
cnt1204,Queens,Finfish,2010,0,0
cnt1204,Queens,Finfish,2006,0,0
cnt1205,Annapolis,Shellfish,2009,0,0
cnt1205,Annapolis,Shellfish,2008,0,0
cnt1205,Annapolis,Shellfish,2011,0,0
cnt1205,Annapolis,Shellfish,2007,0,0
cnt1205,Annapolis,Shellfish,2006,0,0
cnt1205,Annapolis,Shellfish,2010,0,0
cnt1206,Lunenburg,Shellfish,2011,0,0
cnt1206,Lunenburg,Shellfish,2007,0,0
cnt1213,Guysborough,Other Species,2010,0,0
cnt1206,Lunenburg,Shellfish,2008,0,0
cnt1206,Lunenburg,Shellfish,2006,0,0
cnt1206,Lunenburg,Shellfish,2009,0,0
cnt1206,Lunenburg,Shellfish,2010,0,0
cnt1207,Kings,Other Species,2008,0,0
cnt1207,Kings,Other Species,2006,0,0
cnt1207,Kings,Other Species,2010,0,0
cnt1207,Kings,Other Species,2011,0,0
cnt1207,Kings,Other Species,2007,0,0
cnt1207,Kings,Other Species,2009,0,0
cnt1208,Hants,Other Species,2011,0,0
cnt1208,Hants,Other Species,2008,0,0
cnt1208,Hants,Other Species,2009,0,0
cnt1208,Hants,Other Species,2007,0,0
cnt1208,Hants,Other Species,2010,0,0
cnt1208,Hants,Other Species,2006,0,0
cnt1209,Halifax,Other Species,2008,0,0
cnt1209,Halifax,Other Species,2011,0,0
cnt1216,Richmond,Other Species,2011,0,0
cnt1209,Halifax,Other Species,2006,0,0
cnt1209,Halifax,Other Species,2007,0,0
cnt1209,Halifax,Other Species,2009,0,0
cnt1209,Halifax,Other Species,2010,0,0
cnt1210,Colchester,Other Species,2010,0,0
cnt1210,Colchester,Other Species,2008,0,0
cnt1210,Colchester,Other Species,2009,0,0
cnt1210,Colchester,Other Species,2007,0,0
cnt1210,Colchester,Other Species,2006,0,0
cnt1210,Colchester,Other Species,2011,0,0
cnt1211,Cumberland,Other Species,2006,0,0
cnt1211,Cumberland,Other Species,2007,0,0
cnt1211,Cumberland,Other Species,2011,0,0
cnt1211,Cumberland,Other Species,2008,0,0
cnt1211,Cumberland,Other Species,2009,0,0
cnt1211,Cumberland,Other Species,2010,0,0
cnt1212,Pictou,Other Species,2006,0,0
cnt1212,Pictou,Other Species,2007,0,0
cnt1212,Pictou,Other Species,2011,0,0
cnt1212,Pictou,Other Species,2010,0,0
cnt1212,Pictou,Other Species,2009,0,0
cnt1212,Pictou,Other Species,2008,0,0
cnt1206,Lunenburg,Shellfish,2011,0,0
cnt1213,Guysborough,Other Species,2010,0,0
cnt1207,Kings,Other Species,2006,0,0
cnt1213,Guysborough,Other Species,2006,0,0
cnt1213,Guysborough,Other Species,2011,0,0
cnt1213,Guysborough,Other Species,2007,0,0
cnt1213,Guysborough,Other Species,2008,0,0
cnt1213,Guysborough,Other Species,2009,0,0
cnt1214,Antigonish,Other Species,2010,0,0
cnt1214,Antigonish,Other Species,2006,0,0
cnt1214,Antigonish,Other Species,2007,0,0
cnt1214,Antigonish,Other Species,2009,0,0
cnt1214,Antigonish,Other Species,2011,0,0
cnt1214,Antigonish,Other Species,2008,0,0
cnt1215,Inverness,Other Species,2009,0,0
cnt1215,Inverness,Other Species,2008,0,0
cnt1215,Inverness,Other Species,2007,0,0
cnt1215,Inverness,Other Species,2010,0,0
cnt1215,Inverness,Other Species,2006,0,0
cnt1215,Inverness,Other Species,2011,0,0
cnt1216,Richmond,Other Species,2010,0,0
cnt1216,Richmond,Other Species,2006,0,0
cnt1208,Hants,Other Species,2010,0,0
cnt1216,Richmond,Other Species,2011,0,0
cnt1216,Richmond,Other Species,2009,0,0
cnt1216,Richmond,Other Species,2007,0,0
cnt1216,Richmond,Other Species,2008,0,0
cnt1217,Cape Breton,Other Species,2006,0,0
cnt1217,Cape Breton,Other Species,2008,0,0
cnt1217,Cape Breton,Other Species,2011,0,0
cnt1217,Cape Breton,Other Species,2010,0,0
cnt1217,Cape Breton,Other Species,2007,0,0
cnt1217,Cape Breton,Other Species,2009,0,0
cnt1218,Victoria,Other Species,2006,0,0
cnt1218,Victoria,Other Species,2009,0,0
cnt1218,Victoria,Other Species,2007,0,0
cnt1218,Victoria,Other Species,2010,0,0
cnt1218,Victoria,Other Species,2011,0,0
cnt1218,Victoria,Other Species,2008,0,0
pro9012,Nova Scotia,Other Species,2007,35819208,6779161
cnt1205,Annapolis,Shellfish,2010,0,0
cnt1206,Lunenburg,Shellfish,2011,0,0
cnt1206,Lunenburg,Shellfish,2007,0,0
cnt1206,Lunenburg,Shellfish,2008,0,0
cnt1206,Lunenburg,Shellfish,2006,0,0
cnt1206,Lunenburg,Shellfish,2009,0,0
cnt1206,Lunenburg,Shellfish,2010,0,0
cnt1207,Kings,Other Species,2008,0,0
cnt1207,Kings,Other Species,2006,0,0
cnt1207,Kings,Other Species,2010,0,0
cnt1207,Kings,Other Species,2011,0,0
cnt1207,Kings,Other Species,2007,0,0
cnt1207,Kings,Other Species,2009,0,0
cnt1208,Hants,Other Species,2011,0,0
cnt1208,Hants,Other Species,2008,0,0
cnt1208,Hants,Other Species,2009,0,0
cnt1208,Hants,Other Species,2007,0,0
cnt1208,Hants,Other Species,2010,0,0
cnt1208,Hants,Other Species,2006,0,0
cnt1209,Halifax,Other Species,2008,0,0
cnt1209,Halifax,Other Species,2011,0,0
cnt1209,Halifax,Other Species,2006,0,0
cnt1206,Lunenburg,Shellfish,2011,0,0
cnt1209,Halifax,Other Species,2007,0,0
cnt1209,Halifax,Other Species,2009,0,0
cnt1209,Halifax,Other Species,2010,0,0
cnt1210,Colchester,Other Species,2010,0,0
cnt1210,Colchester,Other Species,2008,0,0
cnt1210,Colchester,Other Species,2009,0,0
cnt1210,Colchester,Other Species,2007,0,0
cnt1210,Colchester,Other Species,2006,0,0
cnt1210,Colchester,Other Species,2011,0,0
cnt1211,Cumberland,Other Species,2006,0,0
cnt1211,Cumberland,Other Species,2007,0,0
cnt1211,Cumberland,Other Species,2011,0,0
cnt1211,Cumberland,Other Species,2008,0,0
cnt1211,Cumberland,Other Species,2009,0,0
cnt1211,Cumberland,Other Species,2010,0,0
cnt1212,Pictou,Other Species,2006,0,0
cnt1212,Pictou,Other Species,2007,0,0
cnt1212,Pictou,Other Species,2011,0,0
cnt1213,Guysborough,Other Species,2006,0,0
cnt1212,Pictou,Other Species,2010,0,0
cnt1212,Pictou,Other Species,2009,0,0
cnt1212,Pictou,Other Species,2008,0,0
cnt1213,Guysborough,Other Species,2010,0,0
cnt1213,Guysborough,Other Species,2006,0,0
cnt1202,Yarmouth,Finfish,2010,0,0
cnt1201,Shelburne,All Species,2006,0,0
cnt1201,Shelburne,All Species,2009,0,0
cnt1201,Shelburne,All Species,2010,0,0
cnt1209,Halifax,Other Species,2010,0,0
cnt1201,Shelburne,All Species,2007,0,0
cnt1201,Shelburne,All Species,2011,0,0
cnt1201,Shelburne,All Species,2008,0,0
cnt1202,Yarmouth,Finfish,2006,0,0
cnt1202,Yarmouth,Finfish,2008,0,0
cnt1202,Yarmouth,Finfish,2010,0,0
cnt1202,Yarmouth,Finfish,2009,0,0
cnt1202,Yarmouth,Finfish,2011,0,0
cnt1202,Yarmouth,Finfish,2007,0,0
cnt1203,Digby,Finfish,2010,0,0
cnt1203,Digby,Finfish,2011,0,0
cnt1203,Digby,Finfish,2007,0,0
cnt1203,Digby,Finfish,2009,0,0
cnt1203,Digby,Finfish,2006,0,0
cnt1203,Digby,Finfish,2008,0,0
cnt1204,Queens,Finfish,2008,0,0
cnt1204,Queens,Finfish,2011,0,0
cnt1204,Queens,Finfish,2007,0,0
cnt1204,Queens,Finfish,2009,0,0
cnt1204,Queens,Finfish,2010,0,0
cnt1204,Queens,Finfish,2006,0,0
cnt1205,Annapolis,Shellfish,2009,0,0
cnt1205,Annapolis,Shellfish,2008,0,0
cnt1205,Annapolis,Shellfish,2011,0,0
cnt1205,Annapolis,Shellfish,2007,0,0
cnt1205,Annapolis,Shellfish,2006,0,0
cnt1206,Lunenburg,Shellfish,2009,0,0
cnt1205,Annapolis,Shellfish,2010,0,0
cnt1206,Lunenburg,Shellfish,2011,0,0
cnt1206,Lunenburg,Shellfish,2007,0,0
cnt1206,Lunenburg,Shellfish,2008,0,0
cnt1206,Lunenburg,Shellfish,2006,0,0
cnt1206,Lunenburg,Shellfish,2009,0,0
cnt1206,Lunenburg,Shellfish,2010,0,0
cnt1207,Kings,Other Species,2008,0,0
cnt1207,Kings,Other Species,2006,0,0
cnt1207,Kings,Other Species,2011,0,0
cnt1207,Kings,Other Species,2007,0,0
cnt1207,Kings,Other Species,2009,0,0
cnt1208,Hants,Other Species,2011,0,0
cnt1208,Hants,Other Species,2008,0,0
cnt1208,Hants,Other Species,2009,0,0
cnt1208,Hants,Other Species,2007,0,0
cnt1208,Hants,Other Species,2010,0,0
cnt1208,Hants,Other Species,2006,0,0
cnt1209,Halifax,Other Species,2008,0,0
cnt1209,Halifax,Other Species,2011,0,0
cnt1209,Halifax,Other Species,2006,0,0
cnt1209,Halifax,Other Species,2007,0,0
cnt1209,Halifax,Other Species,2009,0,0
cnt1209,Halifax,Other Species,2010,0,0
cnt1210,Colchester,Other Species,2010,0,0
cnt1210,Colchester,Other Species,2008,0,0
cnt1206,Lunenburg,Shellfish,2007,0,0
cnt1210,Colchester,Other Species,2009,0,0
cnt1210,Colchester,Other Species,2007,0,0
cnt1210,Colchester,Other Species,2006,0,0
cnt1210,Colchester,Other Species,2011,0,0
cnt1211,Cumberland,Other Species,2006,0,0
cnt1211,Cumberland,Other Species,2007,0,0
cnt1211,Cumberland,Other Species,2011,0,0
cnt1211,Cumberland,Other Species,2008,0,0
cnt1211,Cumberland,Other Species,2009,0,0
cnt1211,Cumberland,Other Species,2010,0,0
cnt1212,Pictou,Other Species,2006,0,0
cnt1212,Pictou,Other Species,2007,0,0
cnt1212,Pictou,Other Species,2011,0,0
cnt1212,Pictou,Other Species,2010,0,0
cnt1212,Pictou,Other Species,2009,0,0
cnt1212,Pictou,Other Species,2008,0,0
cnt1213,Guysborough,Other Species,2010,0,0
cnt1213,Guysborough,Other Species,2006,0,0
