OBJECTID,MATERIAL,SOURCE,SACC,ROUTE_NAME,EQUIPMENT,DATE_ACT,DATE_REV,GLOBALID,FDMID,PRIORITY,WNTR_EXCH,SDATE,Shape__Length
1001,SALT,TPW,DUP,W3YR,,2001-12-17T00:00:00.000Z,2018-12-01T00:00:00.000Z,98a78880-3076-4c79-ba75-ef6057e39265,300000223,1,No,2001-12-17T00:00:00.000Z,536.237988214011
1002,SALT,TPW,,E2PR,,2001-11-08T00:00:00.000Z,2018-12-01T00:00:00.000Z,04b49aaa-bd6e-41ee-a590-4ff24f52881f,200000387,1,No,2001-11-08T00:00:00.000Z,118.719237659817
1003,SALT,TPW,,PB3,,2002-12-13T00:00:00.000Z,2016-11-18T00:00:00.000Z,35cc52d6-e04f-45b7-9e9d-454b1566af0f,100001162,1,No,2002-12-13T00:00:00.000Z,314.725920384559
1004,SALT,TPW,,PB1,,2002-11-20T00:00:00.000Z,2017-11-06T00:00:00.000Z,acf7d802-9414-4449-9cc8-ae7dc02617d5,700010927,1,No,2002-11-20T00:00:00.000Z,40.6192915449035
1005,SALT,TPW,,W2BLR,,2007-09-25T00:00:00.000Z,2018-12-01T00:00:00.000Z,c77210ff-ad01-4ee3-985b-1b50ad2f026f,700005049,1,No,2007-09-25T00:00:00.000Z,122.601059381973
1006,SALT,TPW,,W2BLR,,2002-01-01T00:00:00.000Z,2018-12-01T00:00:00.000Z,43480c3f-5f94-451d-8132-79232973463f,700004810,1,No,2002-01-01T00:00:00.000Z,62.9110114604889
1007,SAND,TPW,,WSZ2,,2004-10-28T00:00:00.000Z,2017-09-25T00:00:00.000Z,7dd5d2b8-924d-4387-abe9-e3b78334af5e,100002005,2,No,2004-10-28T00:00:00.000Z,268.182633268764
1008,SAND,TPW,,WSZ2,,2004-10-28T00:00:00.000Z,2017-09-25T00:00:00.000Z,ce0e5e75-87eb-4e90-8ba7-fbdbd41d01e9,100001904,2,No,2004-10-28T00:00:00.000Z,330.751056325119
1009,SALT,TPW,,W1-3,,2001-12-11T00:00:00.000Z,2015-11-18T00:00:00.000Z,73e2ed72-7fcc-46f3-9c7f-575679586e4c,300002960,2,No,2001-12-11T00:00:00.000Z,269.542242552605
1010,SALT,TPW,,PB3,,2002-12-13T00:00:00.000Z,2016-12-16T00:00:00.000Z,d5a38c36-fe17-4ba8-8757-4ab974bd10d2,700007698,2,No,2002-12-13T00:00:00.000Z,62.3141211785079
1011,SALT,TPW,,PB1,,2010-10-01T00:00:00.000Z,2016-08-17T00:00:00.000Z,4960b2eb-bbb8-45ba-8376-cf32d900b710,200001160,2,No,2010-10-01T00:00:00.000Z,166.460418047933
1012,SALT,TPW,,E2PR,,2001-11-16T00:00:00.000Z,2018-12-01T00:00:00.000Z,1664f705-0cc5-4f7d-b401-251e74541d10,700004562,1,No,2001-11-16T00:00:00.000Z,28.8909718845672
1013,SALT,TPW,,W1-4X4-PW,,2015-09-22T00:00:00.000Z,2015-11-24T00:00:00.000Z,3ad700ec-28ba-4f3d-9657-c1fd88168595,300002214,1,No,2015-09-22T00:00:00.000Z,131.750733373398
1014,SALT,TPW,,E1PR,,2008-02-07T00:00:00.000Z,2018-12-01T00:00:00.000Z,f3f91bea-4409-4e97-bb71-d4a43197a31b,700006079,1,No,2008-02-07T00:00:00.000Z,366.533587503509
1015,SALT,TPW,,E1PUR,,2001-11-13T00:00:00.000Z,2018-12-01T00:00:00.000Z,0a352801-dea1-4a25-8917-2e9e9c4b2e7e,200002513,2,No,2001-11-13T00:00:00.000Z,222.800747978221
1016,SALT,TPW,,PB4,,2011-08-04T00:00:00.000Z,2016-01-12T00:00:00.000Z,5811b7e6-7d0d-4c3c-8ab2-96aea36545b2,300001906,1,No,2011-08-04T00:00:00.000Z,77.7662632415445
1017,SAND,TPW,,WSZ2,,2002-12-13T00:00:00.000Z,2017-09-25T00:00:00.000Z,d9c5ddb6-77db-40e9-bb1a-ae107d2df5f6,100002592,2,No,2002-12-13T00:00:00.000Z,966.97754523038
1018,SALT,TPW,,WSZ2,,2002-12-13T00:00:00.000Z,2017-09-25T00:00:00.000Z,062a4333-70f5-4a05-bc69-09adcffd36ed,100002098,2,No,2002-12-13T00:00:00.000Z,235.962739002569
1019,SALT,TPW,,PB4,,2011-08-04T00:00:00.000Z,2016-01-12T00:00:00.000Z,a4a1da08-61d6-4bf3-a8b4-29583da3b7dd,700005417,1,No,2011-08-04T00:00:00.000Z,128.588738983696
1020,SALT,TPW,,E2ORR,,2001-11-02T00:00:00.000Z,2018-12-01T00:00:00.000Z,49af5105-425c-45e1-aff6-d5a0ad0f2424,200002690,2,No,2001-11-02T00:00:00.000Z,812.727673504689
1021,SALT,TPW,,PB4,,2011-08-04T00:00:00.000Z,2016-01-12T00:00:00.000Z,02c5d8d5-7579-4082-b79f-65d25ef2c7a2,700005152,1,No,2011-08-04T00:00:00.000Z,35.6943054529396
1022,SALT,TPW,,PB3,,2002-12-13T00:00:00.000Z,2016-11-18T00:00:00.000Z,4190e91b-77eb-46f4-bd07-2123359b8393,100001726,1,No,2002-12-13T00:00:00.000Z,141.24503888348
1023,SALT,TPW,,PB1,,2002-11-20T00:00:00.000Z,2015-11-18T00:00:00.000Z,6d3bd060-adf2-4179-932a-fc92db2ad396,200001873,1,No,2002-11-20T00:00:00.000Z,97.2873661277842
1024,SALT,TPW,,PB3,,2002-12-13T00:00:00.000Z,2016-11-18T00:00:00.000Z,b42744d6-0781-404f-af33-ed6298eb4a29,100001859,1,No,2002-12-13T00:00:00.000Z,96.7865717959401
1025,SALT,TPW,,PB4,,2011-08-04T00:00:00.000Z,2016-01-12T00:00:00.000Z,a799792f-6362-4afa-a780-2f7ca45e4947,300002710,1,No,2011-08-04T00:00:00.000Z,87.1495134968607
1026,SALT,TPW,,W2-2,,2001-12-16T00:00:00.000Z,2015-11-18T00:00:00.000Z,e2cd10e0-8572-46e0-a4a8-672c4c1ebf32,300000624,2,No,2001-12-16T00:00:00.000Z,106.014240945585
1027,SALT,TPW,,WSZ2,,2002-12-11T00:00:00.000Z,2017-09-25T00:00:00.000Z,450ed7db-cd19-4970-83ad-a8097a9377ee,700006790,1,No,2002-12-11T00:00:00.000Z,161.035637971263
1028,SALT,TPW,,PB4,,2011-08-04T00:00:00.000Z,2016-01-12T00:00:00.000Z,06aff32b-d4e2-4822-be47-1a2e03dbb4be,700006686,1,No,2011-08-04T00:00:00.000Z,364.817237763997
1029,SALT,TPW,,WSZ2,,2002-12-11T00:00:00.000Z,2017-09-25T00:00:00.000Z,816c392a-fe03-4f69-9162-05cdcf0b5e05,700005713,1,No,2002-12-11T00:00:00.000Z,75.9694437041761
1030,SALT,TPW,,PB4,,2011-08-04T00:00:00.000Z,2016-01-12T00:00:00.000Z,27b6323e-c5ce-4573-9d1a-6e30645f09dc,300002309,1,No,2011-08-04T00:00:00.000Z,190.905446788622
1031,SAND,TPW,,PB3,,2002-12-12T00:00:00.000Z,2016-11-02T00:00:00.000Z,a48eb1d2-c29d-4f57-ac1b-ac6b91b48ff3,100002518,2,No,2002-12-12T00:00:00.000Z,144.637533401509
1032,SALT,TPW,,E1-1,,2001-11-01T00:00:00.000Z,2018-12-01T00:00:00.000Z,f2f99773-e748-4ed9-a935-d3ae07690a3e,200002575,1,No,2001-11-01T00:00:00.000Z,37.5390652256855
1033,SALT,TPW,,WSZ2,,2010-11-25T00:00:00.000Z,2017-09-25T00:00:00.000Z,ecc9ccfa-3783-40aa-aa25-f80573f83018,700006797,2,No,2010-11-25T00:00:00.000Z,349.232999853773
1034,SALT,TPW,,W1-4,,2001-12-22T00:00:00.000Z,2017-09-19T00:00:00.000Z,48ec18eb-3455-48ee-ba5d-1467998573fa,300001059,2,No,2001-12-22T00:00:00.000Z,109.865642273745
1035,SALT,TPW,,E2BLR,,2007-08-07T00:00:00.000Z,2018-12-01T00:00:00.000Z,34c7850e-3266-410c-82d6-1e757d529696,700004005,1,No,2007-08-07T00:00:00.000Z,70.6194994847241
1036,SALT,TPW,,PB1,,2010-10-01T00:00:00.000Z,2016-08-17T00:00:00.000Z,9b8c541b-28b4-454e-8b0d-e6ce957107a2,200002048,2,No,2010-10-01T00:00:00.000Z,312.333294258141
1037,SALT,TPW,,PB3,,2014-04-03T00:00:00.000Z,2018-02-27T00:00:00.000Z,94d75bdf-e191-42cd-aae1-eeb91e95a8a0,700009657,1,No,2014-04-03T00:00:00.000Z,217.12119905418
1038,SAND,TPW,,PB3,,2002-12-12T00:00:00.000Z,2016-10-05T00:00:00.000Z,561224eb-a670-4ce6-bb0f-3207614299bc,600001055,1,No,2002-12-12T00:00:00.000Z,460.62099292385
1039,SAND,TPW,,PB4,,2011-08-04T00:00:00.000Z,2015-11-18T00:00:00.000Z,7137db7c-1d6f-4ab9-b02f-58350c367bc4,300003087,2,No,2011-08-04T00:00:00.000Z,575.264710657366
1040,SALT,TPW,,E1BLR,,2001-11-23T00:00:00.000Z,2018-12-01T00:00:00.000Z,be572c94-e1ee-473c-a982-2a75d657795f,700004100,1,No,2001-11-23T00:00:00.000Z,187.720616483513
1041,SALT,TPW,,PB4,,2011-08-04T00:00:00.000Z,2016-09-28T00:00:00.000Z,eacfc153-f950-4aa7-b38d-654e3369dac6,700009856,2,No,2011-08-04T00:00:00.000Z,134.831953462781
1042,SALT,TPW,,W1-4,,2001-12-23T00:00:00.000Z,2017-09-19T00:00:00.000Z,1124ff12-b931-4d2b-b6a8-fbb9d83a237a,300001164,1,No,2001-12-23T00:00:00.000Z,71.3622277387425
1043,SALT,TPW,,W2-1,,2001-12-16T00:00:00.000Z,2015-11-18T00:00:00.000Z,7e3c190b-ce76-48ca-a3a4-4bb1bcb555cb,700005061,1,No,2001-12-16T00:00:00.000Z,184.012485353826
1044,SALT,TPW,,PB1,,2002-11-20T00:00:00.000Z,2015-11-18T00:00:00.000Z,d6a67db7-ecee-4fec-9ac1-46289b3f8351,200002094,1,No,2002-11-20T00:00:00.000Z,475.93577218948
1045,SALT,TPW,,PB1,,2002-11-20T00:00:00.000Z,2015-11-18T00:00:00.000Z,a237ee48-14dd-4bd7-9171-b755c3a7a841,700003889,1,No,2002-11-20T00:00:00.000Z,2136.60778759219
1046,SALT,TPW,DUP,WSZ2,,2002-12-11T00:00:00.000Z,2017-09-25T00:00:00.000Z,a6591c53-d775-4954-ac27-3062742fc799,700003480,1,No,2002-12-11T00:00:00.000Z,157.199290055853
1047,SALT,TPW,,E2BLR,,2001-11-14T00:00:00.000Z,2018-12-01T00:00:00.000Z,81b9db3c-faf8-4430-9b23-7f3e5a0c683b,700004610,1,No,2001-11-14T00:00:00.000Z,66.4777290008029
1048,SALT,TPW,,PB4,,2011-08-04T00:00:00.000Z,2016-01-12T00:00:00.000Z,6f52a6f2-06ca-4721-92a5-847982e03e9f,700007991,1,No,2011-08-04T00:00:00.000Z,100.129432209995
1049,SALT,TPW,,E1PUR,,2001-11-09T00:00:00.000Z,2018-12-01T00:00:00.000Z,52e1502d-079e-4283-b1bb-a08c881d88b1,200000529,2,No,2001-11-09T00:00:00.000Z,219.500221317977
1050,SALT,TPW,,PB4,,2011-08-04T00:00:00.000Z,2016-01-12T00:00:00.000Z,e7d856b5-62c3-4aa8-a67b-2930c6cfea1d,300003180,1,No,2011-08-04T00:00:00.000Z,484.209020686111
1051,SALT,TPW,,W2-1,,2001-09-27T00:00:00.000Z,2015-11-18T00:00:00.000Z,a1c0a6ef-21a0-4a38-a04d-e54c0e7a76f3,300000304,2,No,2001-09-27T00:00:00.000Z,111.994712818101
1052,SALT,TPW,,WSZ2,,2002-12-11T00:00:00.000Z,2017-09-25T00:00:00.000Z,534b35e6-c69b-4292-b8bb-623bdeae6e9f,700006724,1,No,2002-12-11T00:00:00.000Z,56.6227203178324
1053,SALT,TPW,,W1-2,,2001-11-10T00:00:00.000Z,2015-11-18T00:00:00.000Z,82ec9bef-eed3-4036-abcf-3383b247186f,300001748,2,No,2001-11-10T00:00:00.000Z,111.29720805491
1054,SAND,TPW,,E1-1,,2011-12-05T00:00:00.000Z,2018-12-01T00:00:00.000Z,4b0519e6-6764-4695-854a-db8814305800,700008183,2,No,2011-12-05T00:00:00.000Z,310.628736759389
1055,SALT,TPW,,PB1,,2010-10-01T00:00:00.000Z,2016-08-17T00:00:00.000Z,a1904103-24ee-4767-badb-a23f9aa5bf89,200000010,2,No,2010-10-01T00:00:00.000Z,329.012259261421
1056,SALT,TPW,,W1-3,,2001-09-23T00:00:00.000Z,2015-11-18T00:00:00.000Z,11c58363-086e-4f62-ba15-c22c292a6057,300002229,2,No,2001-09-23T00:00:00.000Z,120.844382966115
1057,SALT,TPW,,W1-2,,2001-11-12T00:00:00.000Z,2015-11-18T00:00:00.000Z,b59d7068-4d55-4aad-8d01-0707da20862f,300001896,2,No,2001-11-12T00:00:00.000Z,203.116702615326
1058,SALT,TPW,,W1PUR,,2001-11-10T00:00:00.000Z,2018-12-01T00:00:00.000Z,800805b5-81e9-46c9-9ec8-b11ac7337e2c,300001729,1,No,2001-11-10T00:00:00.000Z,109.534220581642
1059,SALT,TPW,,E1PUR,,2001-11-08T00:00:00.000Z,2018-12-01T00:00:00.000Z,b1094f66-e8e3-4e9a-9260-fd5d1ce39194,200000084,1,No,2001-11-08T00:00:00.000Z,101.632897678463
1060,SALT,TPW,,WSZ2,,2002-12-11T00:00:00.000Z,2017-09-25T00:00:00.000Z,e20fd8ff-e275-44c4-b0c7-0b76d6cb8254,700001873,1,No,2002-12-11T00:00:00.000Z,283.235054677664
1061,SAND,TPW,,PB3,,2002-12-12T00:00:00.000Z,2016-10-05T00:00:00.000Z,63cd2fc7-042a-455c-9cad-8f8a3c524bf2,600000877,1,No,2002-12-12T00:00:00.000Z,204.549130954761
1062,SALT,TPW,,PB1,,2002-11-20T00:00:00.000Z,2015-11-18T00:00:00.000Z,bda74dad-735e-4819-9cca-01102bacb4fe,200001049,1,No,2002-11-20T00:00:00.000Z,155.685444060502
1063,,TPW,,PROV,,2017-10-10T00:00:00.000Z,2018-12-01T00:00:00.000Z,04512c8c-ae1d-4ba4-a609-fd3044c6112c,700004327,,Yes,2017-10-10T00:00:00.000Z,86.4127289873835
1064,SALT,TPW,,PB1,,2002-11-20T00:00:00.000Z,2015-11-18T00:00:00.000Z,11efbc8a-58b8-4b3f-bd58-20e3a30ce51a,200003311,1,No,2002-11-20T00:00:00.000Z,404.304842675017
1065,SALT,TPW,,WSZ2,,2002-12-13T00:00:00.000Z,2017-09-25T00:00:00.000Z,3134b7b5-4773-47e8-b039-36707a5b026d,700003481,2,No,2002-12-13T00:00:00.000Z,527.986202840408
1066,SALT,TPW,,WSZ2,,2002-12-11T00:00:00.000Z,2017-09-25T00:00:00.000Z,3ac1df2e-b175-474d-af87-c6071a965373,700008004,1,No,2002-12-11T00:00:00.000Z,53.1914403521026
1067,SALT,TPW,,W1-3,,2001-12-11T00:00:00.000Z,2015-11-18T00:00:00.000Z,ff0e19f7-d2bf-475f-9777-e294d8262626,300002116,1,No,2001-12-11T00:00:00.000Z,308.044589719307
1068,SALT,TPW,,PB4,,2011-08-04T00:00:00.000Z,2016-01-12T00:00:00.000Z,a884f88b-d062-400e-97b7-b9f6bb18e464,700004436,1,No,2011-08-04T00:00:00.000Z,16.8357139881301
1069,SALT,TPW,,PB3,,2002-12-13T00:00:00.000Z,2016-11-18T00:00:00.000Z,fb67607f-6f39-4074-8f01-c92ccbacbc03,300002988,1,No,2002-12-13T00:00:00.000Z,75.0786687536417
1070,SALT,TPW,DUP,W2BLR,,2007-09-13T00:00:00.000Z,2018-12-01T00:00:00.000Z,c7808dbb-c9c7-4796-89ca-20dba0d71016,700004724,1,No,2007-09-13T00:00:00.000Z,161.794598807699
1071,SALT,TPW,,W1PR,,2015-09-22T00:00:00.000Z,2018-12-01T00:00:00.000Z,ed2b1a3c-b524-4fae-b567-c7018d3ba5df,700004761,1,No,2015-09-22T00:00:00.000Z,170.970627972595
1072,SALT,TPW,DUP,W1-4,,2002-01-06T00:00:00.000Z,2018-12-01T00:00:00.000Z,c6a841b8-bc0a-449f-889d-e178ea2ede19,300000774,1,No,2002-01-06T00:00:00.000Z,130.880839614746
1073,SALT,TPW,,PB3,,2002-12-13T00:00:00.000Z,2016-12-16T00:00:00.000Z,b35a0f82-fe83-4388-8b0d-e85f8157e4a7,100001833,2,No,2002-12-13T00:00:00.000Z,64.4867950693521
1074,SALT,TPW,,E2ORR,,2001-11-14T00:00:00.000Z,2018-12-01T00:00:00.000Z,ca268cab-df9d-4452-9a60-f5c0e0e8818d,200000071,1,No,2001-11-14T00:00:00.000Z,44.7942612539426
1075,SALT,TPW,,WSZ2,,2002-12-11T00:00:00.000Z,2017-09-25T00:00:00.000Z,a861c0bd-f295-441f-a08f-7d12a38cee47,100001940,1,No,2002-12-11T00:00:00.000Z,875.716445852314
1076,SALT,TPW,,W1PR,,2001-12-11T00:00:00.000Z,2018-12-01T00:00:00.000Z,4f8721ac-1c6a-4749-8e06-9124906dcdac,300002061,1,No,2001-12-11T00:00:00.000Z,212.638181370232
1077,SALT,TPW,,PB3,,2002-12-13T00:00:00.000Z,2016-11-18T00:00:00.000Z,336cd9df-e1c1-4af0-bf9a-4218b5794eba,100001245,1,No,2002-12-13T00:00:00.000Z,349.172285558703
1078,SALT,TPW,,E1-1,,2001-11-01T00:00:00.000Z,2018-12-01T00:00:00.000Z,487b8588-46ab-4027-b524-26bb2f621c1d,200000056,1,No,2001-11-01T00:00:00.000Z,65.6366150199714
1079,SALT,TPW,,E2PR,,2001-11-16T00:00:00.000Z,2018-12-01T00:00:00.000Z,5a663285-f91b-40fb-b607-351fbc9dd090,200000411,1,No,2001-11-16T00:00:00.000Z,150.348145295979
1080,SALT,TPW,,PB4,,2011-08-04T00:00:00.000Z,2016-09-28T00:00:00.000Z,404cdc5d-55c2-48e5-88b1-78ab6add7749,300002802,2,No,2011-08-04T00:00:00.000Z,98.8720120544486
1081,SALT,TPW,,PB1,,2010-10-01T00:00:00.000Z,2016-08-17T00:00:00.000Z,8f1569b8-5dbb-4a48-9cbd-9ec5fe5df164,200001615,2,No,2010-10-01T00:00:00.000Z,96.6226077488191
1082,SALT,TPW,,W3PUR,,2001-12-05T00:00:00.000Z,2018-12-01T00:00:00.000Z,2ed96931-2d54-4589-8dc8-6f3c117f4777,300000459,2,No,2001-12-05T00:00:00.000Z,41.1307832779032
1083,SALT,TPW,,E1PUR,,2001-11-09T00:00:00.000Z,2018-12-01T00:00:00.000Z,b1d5d154-c677-475f-92d0-cc57c2e50731,200000088,2,No,2001-11-09T00:00:00.000Z,408.504526985759
1084,SALT,TPW,,PB4,,2011-08-04T00:00:00.000Z,2016-01-12T00:00:00.000Z,c9bf4410-daa1-4efa-a538-ff77e592fe1b,300003346,1,No,2011-08-04T00:00:00.000Z,370.009779274908
1085,SALT,TPW,DUP,W2BLR,,2001-12-23T00:00:00.000Z,2018-12-01T00:00:00.000Z,5289b6e8-963c-4b65-b65c-3e587ab593cf,700006506,1,No,2001-12-23T00:00:00.000Z,226.122544932177
1086,SALT,TPW,,E2YR,,2001-11-13T00:00:00.000Z,2018-12-01T00:00:00.000Z,9a4c7616-e954-444e-b9bf-83e96b19185d,200000500,2,No,2001-11-13T00:00:00.000Z,115.791614158017
1087,SALT,TPW,,WSZ2,,2002-12-13T00:00:00.000Z,2018-12-01T00:00:00.000Z,20910c66-ccb6-4336-b7a5-09f85b092388,700005676,1,No,2002-12-13T00:00:00.000Z,209.193220638316
1088,SALT,TPW,,W2-1,,2001-10-08T00:00:00.000Z,2015-11-18T00:00:00.000Z,300b5b3f-74a5-494e-a14a-28f0d9a15766,300000240,2,No,2001-10-08T00:00:00.000Z,112.579111230259
1089,SALT,TPW,,W2-3,,2001-12-29T00:00:00.000Z,2015-11-18T00:00:00.000Z,8cb51054-a811-484c-9865-2f43624488bf,300001322,2,No,2001-12-29T00:00:00.000Z,158.323742299265
1090,SALT,TPW,,W2-1,,2001-12-17T00:00:00.000Z,2015-11-18T00:00:00.000Z,dc44ffff-cc52-47f8-ad98-2663d0c4c18c,700003984,2,No,2001-12-17T00:00:00.000Z,20.8499421578618
1091,SALT,TPW,,E1GR,,2017-10-10T00:00:00.000Z,2018-12-01T00:00:00.000Z,4d606e7a-5a7a-432d-a876-3d00168b1f7c,700010086,1,No,2017-10-10T00:00:00.000Z,117.204364218869
1092,SAND,TPW,,PB3,,2002-12-12T00:00:00.000Z,2016-11-02T00:00:00.000Z,756fd8d6-f34c-497e-923c-48a24244434b,600000918,2,No,2002-12-12T00:00:00.000Z,196.361031047485
1093,SAND,TPW,,PB3,,2002-12-12T00:00:00.000Z,2016-10-05T00:00:00.000Z,ec00c032-b458-4695-992d-01743f950f36,600000884,1,No,2002-12-12T00:00:00.000Z,130.442144446437
1094,SALT,TPW,,W1-4,,2001-11-05T00:00:00.000Z,2017-09-19T00:00:00.000Z,339febd9-cd13-459d-abd9-a59f579bee8a,300001789,2,No,2001-11-05T00:00:00.000Z,49.9140867322321
1095,SALT,TPW,,WSZ2,,2002-12-13T00:00:00.000Z,2017-09-25T00:00:00.000Z,7998630d-61e6-4619-a9da-0b7a633f7fa6,100001301,1,No,2002-12-13T00:00:00.000Z,98.5875491034667
1096,SALT,TPW,,PB4,,2011-08-04T00:00:00.000Z,2016-01-12T00:00:00.000Z,183626cd-5d16-40a9-ba5f-9e0635e3033d,700005218,1,Yes,2011-08-04T00:00:00.000Z,286.992248119521
1097,SAND,TPW,,PB3,,2002-12-12T00:00:00.000Z,2016-11-02T00:00:00.000Z,6b10eac3-96a5-4b44-a622-689e25c4b28b,700003055,2,No,2002-12-12T00:00:00.000Z,538.332509450795
1098,SALT,TPW,,PB4,,2011-08-04T00:00:00.000Z,2016-09-28T00:00:00.000Z,0d7cd1eb-0546-470f-9bf4-9f7dec032bc2,300002544,2,No,2011-08-04T00:00:00.000Z,179.564386421826
1099,SALT,TPW,,PB3,,2002-12-13T00:00:00.000Z,2016-12-16T00:00:00.000Z,e9bb80e0-b574-45f5-a974-3c564147e794,300000018,2,No,2002-12-13T00:00:00.000Z,171.810877534179
1100,SAND,TPW,,WSZ2,,2002-12-13T00:00:00.000Z,2017-09-25T00:00:00.000Z,efdb1d7f-4142-425f-ac2a-cb848af68d40,700008572,2,No,2002-12-13T00:00:00.000Z,353.167512240206
1101,SALT,TPW,,W1-3,,2001-11-12T00:00:00.000Z,2015-11-18T00:00:00.000Z,4bb41ebf-5221-47de-8a3c-d0d37ae2de4e,300002157,2,No,2001-11-12T00:00:00.000Z,156.004329345233
1102,SALT,TPW,,PB1,,2010-10-01T00:00:00.000Z,2016-08-17T00:00:00.000Z,86f9a993-0c23-4591-98a7-f9adcae5d9c6,200002079,2,No,2010-10-01T00:00:00.000Z,135.353421919953
1103,SALT,TPW,,PB3,,2002-12-13T00:00:00.000Z,2016-11-18T00:00:00.000Z,bbc85d6c-7729-4c58-ab9e-5e84796936f3,100001580,1,No,2002-12-13T00:00:00.000Z,99.0759810466944
1104,SALT,TPW,,PB1,,2010-10-01T00:00:00.000Z,2016-08-17T00:00:00.000Z,3408173e-f8b9-4f49-a80a-d4ae4ebfddf5,200000910,2,No,2010-10-01T00:00:00.000Z,57.547038791769
1105,SALT,TPW,,E2PR,,2001-11-07T00:00:00.000Z,2018-12-01T00:00:00.000Z,c831fc88-8d46-4437-9b15-bf834be920f0,200002705,1,No,2001-11-07T00:00:00.000Z,127.210030028232
1106,SALT,TPW,,W1-1,,2001-12-29T00:00:00.000Z,2015-11-18T00:00:00.000Z,86c09a68-6d47-433e-856a-a107685ee11d,300001431,1,No,2001-12-29T00:00:00.000Z,75.1629606627111
1107,SALT,TPW,,WSZ2,,2002-12-13T00:00:00.000Z,2017-09-25T00:00:00.000Z,6fd4e5d9-1176-4a13-b76a-12c6687a0833,100002182,2,No,2002-12-13T00:00:00.000Z,116.918753334209
1108,SALT,TPW,,PB3,,2002-12-13T00:00:00.000Z,2016-11-18T00:00:00.000Z,e6bbab07-2880-4db8-8804-9b09f1fbca69,100000270,1,No,2002-12-13T00:00:00.000Z,38.1088532775622
1109,SALT,TPW,,PB4,,2011-08-04T00:00:00.000Z,2016-01-12T00:00:00.000Z,ae41676a-7d6a-4b1e-9127-f03d71b3232f,700005219,1,Yes,2011-08-04T00:00:00.000Z,51.0068716726425
1110,SALT,TPW,DUP,E1BLR,,2017-03-15T00:00:00.000Z,2018-12-01T00:00:00.000Z,129a2e39-1408-4cbe-b3a4-8589408dfe5a,700004325,1,No,2017-03-15T00:00:00.000Z,168.146517837661
1111,SALT,TPW,,W2YR,,2007-09-24T00:00:00.000Z,2018-12-01T00:00:00.000Z,bd3dce6c-edc1-404f-996f-c3654a7dc110,700004935,1,No,2007-09-24T00:00:00.000Z,137.006663738947
1112,SALT,TPW,,PB4,,2011-08-04T00:00:00.000Z,2016-09-28T00:00:00.000Z,04ed8d1e-998c-43a4-924a-6b818b2baee1,300002604,2,No,2011-08-04T00:00:00.000Z,108.264667155647
1113,SALT,TPW,,PB4,,2011-08-04T00:00:00.000Z,2016-01-12T00:00:00.000Z,31d91b2f-5d93-41ce-8f78-307e02cdca65,300003576,1,No,2011-08-04T00:00:00.000Z,196.846476230218
1114,SALT,TPW,,W3GR,,2001-12-06T00:00:00.000Z,2018-12-01T00:00:00.000Z,d96b1186-e26f-434e-94b0-cfff6a4500ff,300000343,1,No,2001-12-06T00:00:00.000Z,166.557123591436
1115,SALT,TPW,,PB4,,2011-08-04T00:00:00.000Z,2016-09-28T00:00:00.000Z,a6cc5bfb-2b0b-4193-8de9-84cf9980c62a,300003146,2,No,2011-08-04T00:00:00.000Z,567.724185401417
1116,SALT,TPW,,PB1,,2010-10-01T00:00:00.000Z,2016-08-17T00:00:00.000Z,da3155aa-fb4d-4af8-8821-c9095b1f7105,200000909,2,No,2010-10-01T00:00:00.000Z,296.929984024344
1117,SALT,TPW,,PB3,,2002-12-13T00:00:00.000Z,2016-12-16T00:00:00.000Z,89e753ce-b3d2-4775-b8d9-340172adcc5c,700003859,2,No,2002-12-13T00:00:00.000Z,283.35193903442
1118,SALT,TPW,,WSZ2,,2002-12-11T00:00:00.000Z,2017-09-25T00:00:00.000Z,41ade08e-587a-4068-8a93-eccffafbb6a2,700005703,1,No,2002-12-11T00:00:00.000Z,127.045559390244
1119,SALT,TPW,,PB1,,2002-11-20T00:00:00.000Z,2015-11-18T00:00:00.000Z,46f51e22-ba2b-4b4a-83d9-72a6dda68423,200001183,1,No,2002-11-20T00:00:00.000Z,275.004784675783
1120,SALT,TPW,,PB1,,2002-11-20T00:00:00.000Z,2015-11-18T00:00:00.000Z,177c3c2b-f4d9-4107-8e05-8befb5e81a1c,200001827,1,No,2002-11-20T00:00:00.000Z,420.431454032582
1121,SAND,TPW,,WSZ2,,2004-10-28T00:00:00.000Z,2017-09-25T00:00:00.000Z,7e4e9802-71ed-4c73-8c5a-5714fcf37963,100000068,1,No,2004-10-28T00:00:00.000Z,424.528491983837
1122,SALT,TPW,,PB3,,2002-12-13T00:00:00.000Z,2016-11-18T00:00:00.000Z,7f094a62-6d0b-4b95-8e08-2b5cee993df1,100001163,1,No,2002-12-13T00:00:00.000Z,224.369466940117
1123,SALT,TPW,,E1BLR,,2001-11-20T00:00:00.000Z,2018-12-01T00:00:00.000Z,56e54980-5b4a-4277-b11a-5651b0055cdd,200000720,1,No,2001-11-20T00:00:00.000Z,314.876231952058
1124,SALT,TPW,,WSZ2,,2002-12-11T00:00:00.000Z,2017-09-25T00:00:00.000Z,ec18570e-1a72-454f-8553-0d1b413f7c66,700003249,1,No,2002-12-11T00:00:00.000Z,111.182289844702
